"url","title","title_link","published date","published date_link","images","images_alt","images_link"
"https://www.nur.kz/daynews/","Появилось видео 14-секундного боя Каната Ислама 
 2019-07-06","https://www.nur.kz/1803442-poavilos-video-14-sekundnogo-boa-kanata-islama.html","2019-07-06","https://www.nur.kz/1803442-poavilos-video-14-sekundnogo-boa-kanata-islama.html","https://netstorage-nur.akamaized.net/images/20d53af9180913b6.jpg?impolicy=common-image&imwidth=272","Появилось видео 14-секундного боя Каната Ислама","https://www.nur.kz/1803442-poavilos-video-14-sekundnogo-boa-kanata-islama.html"
"https://www.nur.kz/daynews/","""Благодарю каждого"": Токаев поздравил казахстанцев с Днем столицы 
 2019-07-06","https://www.nur.kz/1803440-tokaev-pozdravil-kazahstancev-s-dnem-stolicy.html","2019-07-06","https://www.nur.kz/1803440-tokaev-pozdravil-kazahstancev-s-dnem-stolicy.html","https://netstorage-nur.akamaized.net/images/a8a0776b1902c0da.jpg?impolicy=common-image&imwidth=272","""Благодарю каждого"": Токаев поздравил казахстанцев с Днем столицы","https://www.nur.kz/1803440-tokaev-pozdravil-kazahstancev-s-dnem-stolicy.html"
"https://www.nur.kz/daynews/","День столицы празднуют в Казахстане 
 2019-07-06","https://www.nur.kz/1803438-den-stolicy-prazdnuut-v-kazahstane.html","2019-07-06","https://www.nur.kz/1803438-den-stolicy-prazdnuut-v-kazahstane.html","https://netstorage-nur.akamaized.net/images/be3854eb220e52c2.jpg?impolicy=common-image&imwidth=272","День столицы празднуют в Казахстане","https://www.nur.kz/1803438-den-stolicy-prazdnuut-v-kazahstane.html"
"https://www.nur.kz/daynews/","«Виноватой себя не считаю»: казахстанка изменила мужу с его родным братом 
 2019-07-06","https://www.nur.kz/1803053-vinovatoj-seba-ne-scitau-kazahstanka-izmenila-muzu-s-ego-rodnym-bratom.html","2019-07-06","https://www.nur.kz/1803053-vinovatoj-seba-ne-scitau-kazahstanka-izmenila-muzu-s-ego-rodnym-bratom.html","https://netstorage-nur.akamaized.net/images/c98d030b091d40ef.jpg?impolicy=common-image&imwidth=272","«Виноватой себя не считаю»: казахстанка изменила мужу с его родным братом","https://www.nur.kz/1803053-vinovatoj-seba-ne-scitau-kazahstanka-izmenila-muzu-s-ego-rodnym-bratom.html"
"https://www.nur.kz/daynews/","Канат Ислам за 10 секунд нокаутировал соперника и завоевал пояс WBO 
 2019-07-05","https://www.nur.kz/1803432-kanat-islam-za-10-sekund-nokautiroval-sopernika-i-zavoeval-poas-wbo.html","2019-07-05","https://www.nur.kz/1803432-kanat-islam-za-10-sekund-nokautiroval-sopernika-i-zavoeval-poas-wbo.html","https://netstorage-nur.akamaized.net/images/6309f23168f2d286.jpg?impolicy=common-image&imwidth=272","Канат Ислам за 10 секунд нокаутировал соперника и завоевал пояс WBO","https://www.nur.kz/1803432-kanat-islam-za-10-sekund-nokautiroval-sopernika-i-zavoeval-poas-wbo.html"
"https://www.nur.kz/daynews/","Аким Шымкента ответил на призыв ""Оян, қазақ"" 
 2019-07-05","https://www.nur.kz/1803380-akim-symkenta-otvetil-na-prizyv-oan-kazak.html","2019-07-05","https://www.nur.kz/1803380-akim-symkenta-otvetil-na-prizyv-oan-kazak.html","https://netstorage-nur.akamaized.net/images/113491e87ddf21fe.jpg?impolicy=common-image&imwidth=272","Аким Шымкента ответил на призыв ""Оян, қазақ""","https://www.nur.kz/1803380-akim-symkenta-otvetil-na-prizyv-oan-kazak.html"
"https://www.nur.kz/daynews/","Сагинтаев поручил показывать ему в Алматы ""не то, что красиво, а проблемные места"" 
 2019-07-05","https://www.nur.kz/1803425-sagintaev-porucil-pokazyvat-emu-v-almaty-ne-to-cto-krasivo-a-problemnye-mesta.html","2019-07-05","https://www.nur.kz/1803425-sagintaev-porucil-pokazyvat-emu-v-almaty-ne-to-cto-krasivo-a-problemnye-mesta.html","https://netstorage-nur.akamaized.net/images/fe0c342eb082eb0e.jpg?impolicy=common-image&imwidth=272","Сагинтаев поручил показывать ему в Алматы ""не то, что красиво, а проблемные места""","https://www.nur.kz/1803425-sagintaev-porucil-pokazyvat-emu-v-almaty-ne-to-cto-krasivo-a-problemnye-mesta.html"
"https://www.nur.kz/daynews/","В Минобороны прокомментировали подрыв снаряда в Арыси 
 2019-07-05","https://www.nur.kz/1803400-v-minoborony-prokommentirovali-podryv-snarada-v-arysi.html","2019-07-05","https://www.nur.kz/1803400-v-minoborony-prokommentirovali-podryv-snarada-v-arysi.html","https://netstorage-nur.akamaized.net/images/c7610c4d51f6a45c.jpg?impolicy=common-image&imwidth=272","В Минобороны прокомментировали подрыв снаряда в Арыси","https://www.nur.kz/1803400-v-minoborony-prokommentirovali-podryv-snarada-v-arysi.html"
"https://www.nur.kz/daynews/","""Сол күйінше тұр"": Арыс әкімі жарылыстан зақымдалған үйін өзі жөндеп алмақшы 
 2019-07-05","https://kaz.nur.kz/1803401-sol-kjinse-tr-arys-kimi-zarylystan-zakymdalgan-jin-zi-zndep-almaksy.html","2019-07-05","https://kaz.nur.kz/1803401-sol-kjinse-tr-arys-kimi-zarylystan-zakymdalgan-jin-zi-zndep-almaksy.html","https://netstorage-nur.akamaized.net/images/b9b9108047aaf6a1.jpg?impolicy=common-image&imwidth=272","""Сол күйінше тұр"": Арыс әкімі жарылыстан зақымдалған үйін өзі жөндеп алмақшы","https://kaz.nur.kz/1803401-sol-kjinse-tr-arys-kimi-zarylystan-zakymdalgan-jin-zi-zndep-almaksy.html"
"https://www.nur.kz/daynews/","Отказаться от ЭЦП намерены в Казахстане 
 2019-07-05","https://www.nur.kz/1803382-otkazatsa-ot-ecp-namereny-v-kazahstane.html","2019-07-05","https://www.nur.kz/1803382-otkazatsa-ot-ecp-namereny-v-kazahstane.html","https://netstorage-nur.akamaized.net/images/3b7c3571871dc6c7.jpeg?impolicy=common-image&imwidth=272","Отказаться от ЭЦП намерены в Казахстане","https://www.nur.kz/1803382-otkazatsa-ot-ecp-namereny-v-kazahstane.html"
"https://www.nur.kz/daynews/","На какой срок сдвинули всеобщее декларирование в Казахстане 
 2019-07-05","https://www.nur.kz/1803373-na-kakoj-srok-sdvinuli-vseobsee-deklarirovanie-v-kazahstane.html","2019-07-05","https://www.nur.kz/1803373-na-kakoj-srok-sdvinuli-vseobsee-deklarirovanie-v-kazahstane.html","https://netstorage-nur.akamaized.net/images/6f635ba2c4dd7cce.jpg?impolicy=common-image&imwidth=272","На какой срок сдвинули всеобщее декларирование в Казахстане","https://www.nur.kz/1803373-na-kakoj-srok-sdvinuli-vseobsee-deklarirovanie-v-kazahstane.html"
"https://www.nur.kz/daynews/","""Меня ввели в заблуждение"": задержанный в Алматы участник ДВК раскаялся (видео)","https://www.nur.kz/1803365-mena-vveli-v-zabluzdenie-zaderzannyj-v-almaty-ucastnik-dvk-raskaalsa-video.html","","","https://netstorage-nur.akamaized.net/images/98d0a29c5098e021.jpg?impolicy=common-image&imwidth=272","""Меня ввели в заблуждение"": задержанный в Алматы участник ДВК раскаялся (видео)","https://www.nur.kz/1803365-mena-vveli-v-zabluzdenie-zaderzannyj-v-almaty-ucastnik-dvk-raskaalsa-video.html"
"https://www.nur.kz/daynews/","""Пост сдал. Пост принял"": Сагинтаев и Байбек пообщались в Twitter","https://www.nur.kz/1803364-post-sdal-post-prinal-sagintaev-i-bajbek-poobsalis-v-twitter.html","","","https://netstorage-nur.akamaized.net/images/78e63d26a77b23e1.jpg?impolicy=common-image&imwidth=272","""Пост сдал. Пост принял"": Сагинтаев и Байбек пообщались в Twitter","https://www.nur.kz/1803364-post-sdal-post-prinal-sagintaev-i-bajbek-poobsalis-v-twitter.html"
"https://www.nur.kz/daynews/","Новую форму для таможенников утвердили в Казахстане (фото)","https://www.nur.kz/1803345-novuu-formu-dla-tamozennikov-utverdili-v-kazahstane-foto.html","","","https://netstorage-nur.akamaized.net/images/fdbf71ed0dcf05d8.jpg?impolicy=common-image&imwidth=272","Новую форму для таможенников утвердили в Казахстане (фото)","https://www.nur.kz/1803345-novuu-formu-dla-tamozennikov-utverdili-v-kazahstane-foto.html"
"https://www.nur.kz/daynews/","Взрыв боеприпаса произошел в Арыси","https://www.nur.kz/1803351-ocerednoj-vzryv-proizosel-v-arysi.html","","","https://netstorage-nur.akamaized.net/images/7913b4b71380488e.png?impolicy=common-image&imwidth=272","Взрыв боеприпаса произошел в Арыси","https://www.nur.kz/1803351-ocerednoj-vzryv-proizosel-v-arysi.html"
"https://www.nur.kz/daynews/","Активистов ДВК задержали в Нур-Султане","https://www.nur.kz/1803335-aktivistov-dvk-zaderzali-v-nur-sultane.html","","","https://netstorage-nur.akamaized.net/images/cccfb66e4a70cf8d.jpg?impolicy=common-image&imwidth=272","Активистов ДВК задержали в Нур-Султане","https://www.nur.kz/1803335-aktivistov-dvk-zaderzali-v-nur-sultane.html"
"https://www.nur.kz/daynews/","""Земля не продается иностранцам"": Сапархан Омаров успокоил казахстанцев","https://www.nur.kz/1803326-zemla-ne-prodaetsa-inostrancam-saparhan-omarov-uspokoil-kazahstancev.html","","","https://netstorage-nur.akamaized.net/images/ea4c23f0cc0f53b6.jpg?impolicy=common-image&imwidth=272","""Земля не продается иностранцам"": Сапархан Омаров успокоил казахстанцев","https://www.nur.kz/1803326-zemla-ne-prodaetsa-inostrancam-saparhan-omarov-uspokoil-kazahstancev.html"
"https://www.nur.kz/daynews/","«Агитаторов» наказали за призывы к незаконным митингам в Алматы","https://www.nur.kz/1803319-agitatorov-nakazali-za-prizyvy-k-nezakonnym-mitingam-v-almaty.html","","","https://netstorage-nur.akamaized.net/images/9c87a7fbdec1f046_w.jpg?impolicy=common-image&imwidth=272","«Агитаторов» наказали за призывы к незаконным митингам в Алматы","https://www.nur.kz/1803319-agitatorov-nakazali-za-prizyvy-k-nezakonnym-mitingam-v-almaty.html"
"https://www.nur.kz/daynews/","""Пассажиры хотят блокировать другие рейсы"": казахстанцы возмущены задержкой самолета Scat","https://www.nur.kz/1803300-passaziry-hotat-blokirovat-drugie-rejsy-kazahstancy-vozmuseny-zaderzkoj-samoleta-scat.html","","","https://netstorage-nur.akamaized.net/images/0901e826fcc82065.jpg?impolicy=common-image&imwidth=272","""Пассажиры хотят блокировать другие рейсы"": казахстанцы возмущены задержкой самолета Scat","https://www.nur.kz/1803300-passaziry-hotat-blokirovat-drugie-rejsy-kazahstancy-vozmuseny-zaderzkoj-samoleta-scat.html"
"https://www.nur.kz/daynews/","Эльмира Суханбердиева предстанет перед судом 9 июля","https://www.nur.kz/1803285-elmira-suhanberdieva-predstanet-pered-sudom-9-iula.html","","","https://netstorage-nur.akamaized.net/images/28639fa00dbb088e.jpg?impolicy=common-image&imwidth=272","Эльмира Суханбердиева предстанет перед судом 9 июля","https://www.nur.kz/1803285-elmira-suhanberdieva-predstanet-pered-sudom-9-iula.html"
"https://www.nur.kz/daynews/","Ержан Бабакумаров освобожден от должности советника президента","https://www.nur.kz/1803286-erzan-babakumarov-osvobozden-ot-dolznosti-sovetnika-prezidenta.html","","","https://netstorage-nur.akamaized.net/images/d41faad89971c1bc.jpg?impolicy=common-image&imwidth=272","Ержан Бабакумаров освобожден от должности советника президента","https://www.nur.kz/1803286-erzan-babakumarov-osvobozden-ot-dolznosti-sovetnika-prezidenta.html"
"https://www.nur.kz/daynews/","""Упрекнул, что родилась дочь"": житель Атырау выгнал жену из дома после 20 лет брака","https://www.nur.kz/1803276-upreknul-cto-rodilas-doc-zitel-atyrau-vygnal-zenu-iz-doma-posle-20-let-braka.html","","","https://netstorage-nur.akamaized.net/images/f52a5a436aa632f9.jpeg?impolicy=common-image&imwidth=272","""Упрекнул, что родилась дочь"": житель Атырау выгнал жену из дома после 20 лет брака","https://www.nur.kz/1803276-upreknul-cto-rodilas-doc-zitel-atyrau-vygnal-zenu-iz-doma-posle-20-let-braka.html"
"https://www.nur.kz/daynews/","Нигматулин: Законодательная работа депутатов направлена на выполнение стратегических задач","https://www.nur.kz/1803274-nigmatulin-zakonodatelnaa-rabota-deputatov-napravlena-na-vypolnenie-strategiceskih-zadac.html","","","https://netstorage-nur.akamaized.net/images/440f2315d9d6d84e.jpg?impolicy=common-image&imwidth=272","Нигматулин: Законодательная работа депутатов направлена на выполнение стратегических задач","https://www.nur.kz/1803274-nigmatulin-zakonodatelnaa-rabota-deputatov-napravlena-na-vypolnenie-strategiceskih-zadac.html"
"https://www.nur.kz/daynews/","Фанатка Димаша из США переехала ради него в Казахстан: Родные называют сумасшедшей (видео)","https://www.nur.kz/1803260-fanatka-dimasa-iz-ssa-pereehala-radi-nego-v-kazahstan-rodnye-nazyvaut-sumassedsej-video.html","","","https://netstorage-nur.akamaized.net/images/8833e08bf09486e1.png?impolicy=common-image&imwidth=272","Фанатка Димаша из США переехала ради него в Казахстан: Родные называют сумасшедшей (видео)","https://www.nur.kz/1803260-fanatka-dimasa-iz-ssa-pereehala-radi-nego-v-kazahstan-rodnye-nazyvaut-sumassedsej-video.html"
"https://www.nur.kz/daynews/","Байбек высказался о необходимости внутренней «чистки рядов» в Nur Otan","https://www.nur.kz/1803251-bajbek-vyskazalsa-o-neobhodimosti-vnutrennej-cistki-radov-v-nur-otan.html","","","https://netstorage-nur.akamaized.net/images/a822ee94da771cb9_w.jpg?impolicy=common-image&imwidth=272","Байбек высказался о необходимости внутренней «чистки рядов» в Nur Otan","https://www.nur.kz/1803251-bajbek-vyskazalsa-o-neobhodimosti-vnutrennej-cistki-radov-v-nur-otan.html"
"https://www.nur.kz/daynews/","""Есть папики"": около 200 несовершеннолетних сделали аборты в Казахстане","https://www.nur.kz/1803250-est-papiki-okolo-200-nesoversennoletnih-sdelali-aborty-s-nacala-goda-v-kazahstane.html","","","https://netstorage-nur.akamaized.net/images/6e806314f408b8d0.jpg?impolicy=common-image&imwidth=272","""Есть папики"": около 200 несовершеннолетних сделали аборты в Казахстане","https://www.nur.kz/1803250-est-papiki-okolo-200-nesoversennoletnih-sdelali-aborty-s-nacala-goda-v-kazahstane.html"
